OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WROT.BlPthAngRmpTgt2,WROT.,BlPthAngRmpTgt2,Pitch angle ramped setpoint blade 2,Degrees,Live Value,Double,Live Value
WROT.BlPthAngRmpTgt2_10m_Avg,WROT.,BlPthAngRmpTgt2_10m_Avg,Pitch angle ramped setpoint blade 2,Degrees,Average,Double,10 minute tag
WROT.BlPthAngRmpTgt2_10m_Max,WROT.,BlPthAngRmpTgt2_10m_Max,Pitch angle ramped setpoint blade 2,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngRmpTgt2_10m_Min,WROT.,BlPthAngRmpTgt2_10m_Min,Pitch angle ramped setpoint blade 2,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngRmpTgt2_10m_Std,WROT.,BlPthAngRmpTgt2_10m_Std,Pitch angle ramped setpoint blade 2,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngRmpTgt3,WROT.,BlPthAngRmpTgt3,Pitch angle ramped setpoint blade 3,Degrees,Live Value,Double,Live Value
WROT.BlPthAngRmpTgt3_10m_Avg,WROT.,BlPthAngRmpTgt3_10m_Avg,Pitch angle ramped setpoint blade 3,Degrees,Average,Double,10 minute tag
WROT.BlPthAngRmpTgt3_10m_Max,WROT.,BlPthAngRmpTgt3_10m_Max,Pitch angle ramped setpoint blade 3,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngRmpTgt3_10m_Min,WROT.,BlPthAngRmpTgt3_10m_Min,Pitch angle ramped setpoint blade 3,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngRmpTgt3_10m_Std,WROT.,BlPthAngRmpTgt3_10m_Std,Pitch angle ramped setpoint blade 3,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgt,WROT.,BlPthAngTgt,Pitch angle target value,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgt1,WROT.,BlPthAngTgt1,Pitch angle setpoint blade 1,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgt1_10m_Avg,WROT.,BlPthAngTgt1_10m_Avg,Pitch angle setpoint blade 1,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgt1_10m_Max,WROT.,BlPthAngTgt1_10m_Max,Pitch angle setpoint blade 1,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgt1_10m_Min,WROT.,BlPthAngTgt1_10m_Min,Pitch angle setpoint blade 1,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgt1_10m_Std,WROT.,BlPthAngTgt1_10m_Std,Pitch angle setpoint blade 1,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgt2,WROT.,BlPthAngTgt2,Pitch angle setpoint blade 2,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgt2_10m_Avg,WROT.,BlPthAngTgt2_10m_Avg,Pitch angle setpoint blade 2,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgt2_10m_Max,WROT.,BlPthAngTgt2_10m_Max,Pitch angle setpoint blade 2,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgt2_10m_Min,WROT.,BlPthAngTgt2_10m_Min,Pitch angle setpoint blade 2,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgt2_10m_Std,WROT.,BlPthAngTgt2_10m_Std,Pitch angle setpoint blade 2,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgt3,WROT.,BlPthAngTgt3,Pitch angle setpoint blade 3,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgt3_10m_Avg,WROT.,BlPthAngTgt3_10m_Avg,Pitch angle setpoint blade 3,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgt3_10m_Max,WROT.,BlPthAngTgt3_10m_Max,Pitch angle setpoint blade 3,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgt3_10m_Min,WROT.,BlPthAngTgt3_10m_Min,Pitch angle setpoint blade 3,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgt3_10m_Std,WROT.,BlPthAngTgt3_10m_Std,Pitch angle setpoint blade 3,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgtErr1,WROT.,BlPthAngTgtErr1,Pitch angle setpoint error blade 1,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgtErr1_10m_Avg,WROT.,BlPthAngTgtErr1_10m_Avg,Pitch angle setpoint error blade 1,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgtErr1_10m_Max,WROT.,BlPthAngTgtErr1_10m_Max,Pitch angle setpoint error blade 1,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgtErr1_10m_Min,WROT.,BlPthAngTgtErr1_10m_Min,Pitch angle setpoint error blade 1,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgtErr1_10m_Std,WROT.,BlPthAngTgtErr1_10m_Std,Pitch angle setpoint error blade 1,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgtErr2,WROT.,BlPthAngTgtErr2,Pitch angle setpoint error blade 2,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgtErr2_10m_Avg,WROT.,BlPthAngTgtErr2_10m_Avg,Pitch angle setpoint error blade 2,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgtErr2_10m_Max,WROT.,BlPthAngTgtErr2_10m_Max,Pitch angle setpoint error blade 2,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgtErr2_10m_Min,WROT.,BlPthAngTgtErr2_10m_Min,Pitch angle setpoint error blade 2,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgtErr2_10m_Std,WROT.,BlPthAngTgtErr2_10m_Std,Pitch angle setpoint error blade 2,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngTgtErr3,WROT.,BlPthAngTgtErr3,Pitch angle setpoint error blade 3,Degrees,Live Value,Double,Live Value
WROT.BlPthAngTgtErr3_10m_Avg,WROT.,BlPthAngTgtErr3_10m_Avg,Pitch angle setpoint error blade 3,Degrees,Average,Double,10 minute tag
WROT.BlPthAngTgtErr3_10m_Max,WROT.,BlPthAngTgtErr3_10m_Max,Pitch angle setpoint error blade 3,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngTgtErr3_10m_Min,WROT.,BlPthAngTgtErr3_10m_Min,Pitch angle setpoint error blade 3,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngTgtErr3_10m_Std,WROT.,BlPthAngTgtErr3_10m_Std,Pitch angle setpoint error blade 3,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngVal,WROT.,BlPthAngVal,Pitch angle for blade as feedback from the pitch system,Degrees,Live Value,Double,Live Value
WROT.BlPthAngVal1,WROT.,BlPthAngVal1,Pitch angle of blade 1,Degrees,Live Value,Double,Live Value
WROT.BlPthAngVal1_10m_Avg,WROT.,BlPthAngVal1_10m_Avg,Pitch angle of blade 1,Degrees,Average,Double,10 minute tag
WROT.BlPthAngVal1_10m_Max,WROT.,BlPthAngVal1_10m_Max,Pitch angle of blade 1,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngVal1_10m_Min,WROT.,BlPthAngVal1_10m_Min,Pitch angle of blade 1,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngVal1_10m_Std,WROT.,BlPthAngVal1_10m_Std,Pitch angle of blade 1,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngVal2,WROT.,BlPthAngVal2,Pitch angle of blade 2,Degrees,Live Value,Double,Live Value
WROT.BlPthAngVal2_10m_Avg,WROT.,BlPthAngVal2_10m_Avg,Pitch angle of blade 2,Degrees,Average,Double,10 minute tag
WROT.BlPthAngVal2_10m_Max,WROT.,BlPthAngVal2_10m_Max,Pitch angle of blade 2,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngVal2_10m_Min,WROT.,BlPthAngVal2_10m_Min,Pitch angle of blade 2,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngVal2_10m_Std,WROT.,BlPthAngVal2_10m_Std,Pitch angle of blade 2,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthAngVal3,WROT.,BlPthAngVal3,Pitch angle of blade 3,Degrees,Live Value,Double,Live Value
WROT.BlPthAngVal3_10m_Avg,WROT.,BlPthAngVal3_10m_Avg,Pitch angle of blade 3,Degrees,Average,Double,10 minute tag
WROT.BlPthAngVal3_10m_Max,WROT.,BlPthAngVal3_10m_Max,Pitch angle of blade 3,Degrees,Maximum,Double,10 minute tag
WROT.BlPthAngVal3_10m_Min,WROT.,BlPthAngVal3_10m_Min,Pitch angle of blade 3,Degrees,Minimum,Double,10 minute tag
WROT.BlPthAngVal3_10m_Std,WROT.,BlPthAngVal3_10m_Std,Pitch angle of blade 3,Degrees,Standard Deviation,Double,10 minute tag
WROT.BlPthBatSt,WROT.,BlPthBatSt,"Status of pitch battery
0: Ok
1: Battery test needed",Enum,Live Value,Long,Live Value
WROT.BlPthCtlV1_10m_Avg,WROT.,BlPthCtlV1_10m_Avg,Control voltage to the pitch propotional valve 1,V,Average,Double,10 minute tag
WROT.BlPthCtlV1_10m_Max,WROT.,BlPthCtlV1_10m_Max,Control voltage to the pitch propotional valve 1,V,Maximum,Double,10 minute tag
WROT.BlPthCtlV1_10m_Min,WROT.,BlPthCtlV1_10m_Min,Control voltage to the pitch propotional valve 1,V,Minimum,Double,10 minute tag
WROT.BlPthCtlV1_10m_Std,WROT.,BlPthCtlV1_10m_Std,Control voltage to the pitch propotional valve 1,V,Standard Deviation,Double,10 minute tag
WROT.BlPthCtlV2_10m_Avg,WROT.,BlPthCtlV2_10m_Avg,Control voltage to the pitch propotional valve 2,V,Average,Double,10 minute tag
WROT.BlPthCtlV2_10m_Max,WROT.,BlPthCtlV2_10m_Max,Control voltage to the pitch propotional valve 2,V,Maximum,Double,10 minute tag
WROT.BlPthCtlV2_10m_Min,WROT.,BlPthCtlV2_10m_Min,Control voltage to the pitch propotional valve 2,V,Minimum,Double,10 minute tag
WROT.BlPthCtlV2_10m_Std,WROT.,BlPthCtlV2_10m_Std,Control voltage to the pitch propotional valve 2,V,Standard Deviation,Double,10 minute tag
WROT.BlPthCtlV3_10m_Avg,WROT.,BlPthCtlV3_10m_Avg,Control voltage to the pitch propotional valve 3,V,Average,Double,10 minute tag
WROT.BlPthCtlV3_10m_Max,WROT.,BlPthCtlV3_10m_Max,Control voltage to the pitch propotional valve 3,V,Maximum,Double,10 minute tag
WROT.BlPthCtlV3_10m_Min,WROT.,BlPthCtlV3_10m_Min,Control voltage to the pitch propotional valve 3,V,Minimum,Double,10 minute tag
WROT.BlPthCtlV3_10m_Std,WROT.,BlPthCtlV3_10m_Std,Control voltage to the pitch propotional valve 3,V,Standard Deviation,Double,10 minute tag
WROT.BlPthDCV1,WROT.,BlPthDCV1,Electrical pitch dc voltage blade 1,V,Live Value,Double,Live Value
WROT.BlPthDCV1_10m_Avg,WROT.,BlPthDCV1_10m_Avg,Electrical pitch dc voltage blade 1,V,Average,Double,10 minute tag
WROT.BlPthDCV1_10m_Max,WROT.,BlPthDCV1_10m_Max,Electrical pitch dc voltage blade 1,V,Maximum,Double,10 minute tag
WROT.BlPthDCV1_10m_Min,WROT.,BlPthDCV1_10m_Min,Electrical pitch dc voltage blade 1,V,Minimum,Double,10 minute tag
WROT.BlPthDCV1_10m_Std,WROT.,BlPthDCV1_10m_Std,Electrical pitch dc voltage blade 1,V,Standard Deviation,Double,10 minute tag
WROT.BlPthDCV2,WROT.,BlPthDCV2,Electrical pitch dc voltage blade 2,V,Live Value,Double,Live Value
WROT.BlPthDCV2_10m_Avg,WROT.,BlPthDCV2_10m_Avg,Electrical pitch dc voltage blade 2,V,Average,Double,10 minute tag
WROT.BlPthDCV2_10m_Max,WROT.,BlPthDCV2_10m_Max,Electrical pitch dc voltage blade 2,V,Maximum,Double,10 minute tag
WROT.BlPthDCV2_10m_Min,WROT.,BlPthDCV2_10m_Min,Electrical pitch dc voltage blade 2,V,Minimum,Double,10 minute tag
WROT.BlPthDCV2_10m_Std,WROT.,BlPthDCV2_10m_Std,Electrical pitch dc voltage blade 2,V,Standard Deviation,Double,10 minute tag
WROT.BlPthDCV3,WROT.,BlPthDCV3,Electrical pitch dc voltage blade 3,V,Live Value,Double,Live Value
WROT.BlPthDCV3_10m_Avg,WROT.,BlPthDCV3_10m_Avg,Electrical pitch dc voltage blade 3,V,Average,Double,10 minute tag
WROT.BlPthDCV3_10m_Max,WROT.,BlPthDCV3_10m_Max,Electrical pitch dc voltage blade 3,V,Maximum,Double,10 minute tag
WROT.BlPthDCV3_10m_Min,WROT.,BlPthDCV3_10m_Min,Electrical pitch dc voltage blade 3,V,Minimum,Double,10 minute tag
WROT.BlPthDCV3_10m_Std,WROT.,BlPthDCV3_10m_Std,Electrical pitch dc voltage blade 3,V,Standard Deviation,Double,10 minute tag
WROT.BlPthHtSnkTmp1,WROT.,BlPthHtSnkTmp1,Electrical pitch control Panel heatsink temperature blade 1,�C,Live Value,Double,Live Value
WROT.BlPthHtSnkTmp1_10m_Avg,WROT.,BlPthHtSnkTmp1_10m_Avg,Electrical pitch control Panel heatsink temperature blade 1,�C,Average,Double,10 minute tag
WROT.BlPthHtSnkTmp2,WROT.,BlPthHtSnkTmp2,Electrical pitch control Panel heatsink temperature blade 2,�C,Live Value,Double,Live Value
WROT.BlPthHtSnkTmp2_10m_Avg,WROT.,BlPthHtSnkTmp2_10m_Avg,Electrical pitch control Panel heatsink temperature blade 2,�C,Average,Double,10 minute tag
WROT.BlPthHtSnkTmp3,WROT.,BlPthHtSnkTmp3,Electrical pitch control Panel heatsink temperature blade 3,�C,Live Value,Double,Live Value
WROT.BlPthHtSnkTmp3_10m_Avg,WROT.,BlPthHtSnkTmp3_10m_Avg,Electrical pitch control Panel heatsink temperature blade 3,�C,Average,Double,10 minute tag
WROT.BlPthHyPres,WROT.,BlPthHyPres,"Hydraulic pressure pitch, not specific for any blade",bar,Live Value,Double,Live Value
WROT.BlPthHyPres_10m_Avg,WROT.,BlPthHyPres_10m_Avg,"Hydraulic pressure pitch, not specific for any blade",bar,Average,Double,10 minute tag
WROT.BlPthHyPres_10m_Max,WROT.,BlPthHyPres_10m_Max,"Hydraulic pressure pitch, not specific for any blade",bar,Maximum,Double,10 minute tag
WROT.BlPthHyPres_10m_Min,WROT.,BlPthHyPres_10m_Min,"Hydraulic pressure pitch, not specific for any blade",bar,Minimum,Double,10 minute tag
WROT.BlPthHyPres_10m_Std,WROT.,BlPthHyPres_10m_Std,"Hydraulic pressure pitch, not specific for any blade",bar,Standard Deviation,Double,10 minute tag
WROT.BlPthHyPres1,WROT.,BlPthHyPres1,Hydraulic oil pressure for blade 1 pitch system,bar,Live Value,Double,Live Value
WROT.BlPthHyPres1_10m_Avg,WROT.,BlPthHyPres1_10m_Avg,Hydraulic oil pressure for blade 1 pitch system,bar,Average,Double,10 minute tag
WROT.BlPthHyPres1_10m_Max,WROT.,BlPthHyPres1_10m_Max,Hydraulic oil pressure for blade 1 pitch system,bar,Maximum,Double,10 minute tag
WROT.BlPthHyPres1_10m_Min,WROT.,BlPthHyPres1_10m_Min,Hydraulic oil pressure for blade 1 pitch system,bar,Minimum,Double,10 minute tag
WROT.BlPthHyPres1_10m_Std,WROT.,BlPthHyPres1_10m_Std,Hydraulic oil pressure for blade 1 pitch system,bar,Standard Deviation,Double,10 minute tag
WROT.BlPthHyPres2,WROT.,BlPthHyPres2,Hydraulic oil pressure for blade 2 pitch system,bar,Live Value,Double,Live Value
WROT.BlPthHyPres2_10m_Avg,WROT.,BlPthHyPres2_10m_Avg,Hydraulic oil pressure for blade 2 pitch system,bar,Average,Double,10 minute tag
WROT.BlPthHyPres2_10m_Max,WROT.,BlPthHyPres2_10m_Max,Hydraulic oil pressure for blade 2 pitch system,bar,Maximum,Double,10 minute tag
WROT.BlPthHyPres2_10m_Min,WROT.,BlPthHyPres2_10m_Min,Hydraulic oil pressure for blade 2 pitch system,bar,Minimum,Double,10 minute tag
WROT.BlPthHyPres2_10m_Std,WROT.,BlPthHyPres2_10m_Std,Hydraulic oil pressure for blade 2 pitch system,bar,Standard Deviation,Double,10 minute tag
WROT.BlPthHyPres3,WROT.,BlPthHyPres3,Hydraulic oil pressure for blade 3 pitch system,bar,Live Value,Double,Live Value
WROT.BlPthHyPres3_10m_Avg,WROT.,BlPthHyPres3_10m_Avg,Hydraulic oil pressure for blade 3 pitch system,bar,Average,Double,10 minute tag
WROT.BlPthHyPres3_10m_Max,WROT.,BlPthHyPres3_10m_Max,Hydraulic oil pressure for blade 3 pitch system,bar,Maximum,Double,10 minute tag
WROT.BlPthHyPres3_10m_Min,WROT.,BlPthHyPres3_10m_Min,Hydraulic oil pressure for blade 3 pitch system,bar,Minimum,Double,10 minute tag
WROT.BlPthHyPres3_10m_Std,WROT.,BlPthHyPres3_10m_Std,Hydraulic oil pressure for blade 3 pitch system,bar,Standard Deviation,Double,10 minute tag
WROT.BlPthMotSpd1,WROT.,BlPthMotSpd1,Electrical pitch motor RPM Blade 1,RPM,Live Value,Double,Live Value
WROT.BlPthMotSpd1_10m_Avg,WROT.,BlPthMotSpd1_10m_Avg,Electrical pitch motor RPM Blade 1,RPM,Average,Double,10 minute tag
WROT.BlPthMotSpd1_10m_Max,WROT.,BlPthMotSpd1_10m_Max,Electrical pitch motor RPM Blade 1,RPM,Maximum,Double,10 minute tag
WROT.BlPthMotSpd1_10m_Min,WROT.,BlPthMotSpd1_10m_Min,Electrical pitch motor RPM Blade 1,RPM,Minimum,Double,10 minute tag
WROT.BlPthMotSpd1_10m_Std,WROT.,BlPthMotSpd1_10m_Std,Electrical pitch motor RPM Blade 1,RPM,Standard Deviation,Double,10 minute tag
WROT.BlPthMotSpd2,WROT.,BlPthMotSpd2,Electrical pitch motor RPM Blade 2,RPM,Live Value,Double,Live Value
WROT.BlPthMotSpd2_10m_Avg,WROT.,BlPthMotSpd2_10m_Avg,Electrical pitch motor RPM Blade 2,RPM,Average,Double,10 minute tag
WROT.BlPthMotSpd2_10m_Max,WROT.,BlPthMotSpd2_10m_Max,Electrical pitch motor RPM Blade 2,RPM,Maximum,Double,10 minute tag
WROT.BlPthMotSpd2_10m_Min,WROT.,BlPthMotSpd2_10m_Min,Electrical pitch motor RPM Blade 2,RPM,Minimum,Double,10 minute tag
WROT.BlPthMotSpd2_10m_Std,WROT.,BlPthMotSpd2_10m_Std,Electrical pitch motor RPM Blade 2,RPM,Standard Deviation,Double,10 minute tag
WROT.BlPthMotSpd3,WROT.,BlPthMotSpd3,Electrical pitch motor RPM Blade 3,RPM,Live Value,Double,Live Value
WROT.BlPthMotSpd3_10m_Avg,WROT.,BlPthMotSpd3_10m_Avg,Electrical pitch motor RPM Blade 3,RPM,Average,Double,10 minute tag
WROT.BlPthMotSpd3_10m_Max,WROT.,BlPthMotSpd3_10m_Max,Electrical pitch motor RPM Blade 3,RPM,Maximum,Double,10 minute tag
WROT.BlPthMotSpd3_10m_Min,WROT.,BlPthMotSpd3_10m_Min,Electrical pitch motor RPM Blade 3,RPM,Minimum,Double,10 minute tag
WROT.BlPthMotSpd3_10m_Std,WROT.,BlPthMotSpd3_10m_Std,Electrical pitch motor RPM Blade 3,RPM,Standard Deviation,Double,10 minute tag
WROT.BlPthMotTmp1,WROT.,BlPthMotTmp1,Electrical pitch motor temperature blade 1,�C,Live Value,Double,Live Value
WROT.BlPthMotTmp1_10m_Avg,WROT.,BlPthMotTmp1_10m_Avg,Electrical pitch motor temperature blade 1,�C,Average,Double,10 minute tag
WROT.BlPthMotTmp1_10m_Max,WROT.,BlPthMotTmp1_10m_Max,Electrical pitch motor temperature blade 1,�C,Maximum,Double,10 minute tag
WROT.BlPthMotTmp1_10m_Min,WROT.,BlPthMotTmp1_10m_Min,Electrical pitch motor temperature blade 1,�C,Minimum,Double,10 minute tag
WROT.BlPthMotTmp1_10m_Std,WROT.,BlPthMotTmp1_10m_Std,Electrical pitch motor temperature blade 1,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthMotTmp2,WROT.,BlPthMotTmp2,Electrical pitch motor temperature blade 2,�C,Live Value,Double,Live Value
WROT.BlPthMotTmp2_10m_Avg,WROT.,BlPthMotTmp2_10m_Avg,Electrical pitch motor temperature blade 2,�C,Average,Double,10 minute tag
WROT.BlPthMotTmp2_10m_Max,WROT.,BlPthMotTmp2_10m_Max,Electrical pitch motor temperature blade 2,�C,Maximum,Double,10 minute tag
WROT.BlPthMotTmp2_10m_Min,WROT.,BlPthMotTmp2_10m_Min,Electrical pitch motor temperature blade 2,�C,Minimum,Double,10 minute tag
WROT.BlPthMotTmp2_10m_Std,WROT.,BlPthMotTmp2_10m_Std,Electrical pitch motor temperature blade 2,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthMotTmp3,WROT.,BlPthMotTmp3,Electrical pitch motor temperature blade 3,�C,Live Value,Double,Live Value
WROT.BlPthMotTmp3_10m_Avg,WROT.,BlPthMotTmp3_10m_Avg,Electrical pitch motor temperature blade 3,�C,Average,Double,10 minute tag
WROT.BlPthMotTmp3_10m_Max,WROT.,BlPthMotTmp3_10m_Max,Electrical pitch motor temperature blade 3,�C,Maximum,Double,10 minute tag
WROT.BlPthMotTmp3_10m_Min,WROT.,BlPthMotTmp3_10m_Min,Electrical pitch motor temperature blade 3,�C,Minimum,Double,10 minute tag
WROT.BlPthMotTmp3_10m_Std,WROT.,BlPthMotTmp3_10m_Std,Electrical pitch motor temperature blade 3,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthPistPos1,WROT.,BlPthPistPos1,Pitch hydraulic piston position blade 1,,Live Value,Double,Live Value
WROT.BlPthPistPos1_10m_Avg,WROT.,BlPthPistPos1_10m_Avg,Pitch hydraulic piston position blade 1,,Average,Double,10 minute tag
WROT.BlPthPistPos1_10m_Max,WROT.,BlPthPistPos1_10m_Max,Pitch hydraulic piston position blade 1,,Maximum,Double,10 minute tag
WROT.BlPthPistPos1_10m_Min,WROT.,BlPthPistPos1_10m_Min,Pitch hydraulic piston position blade 1,,Minimum,Double,10 minute tag
WROT.BlPthPistPos1_10m_Std,WROT.,BlPthPistPos1_10m_Std,Pitch hydraulic piston position blade 1,,Standard Deviation,Double,10 minute tag
WROT.BlPthPistPos2,WROT.,BlPthPistPos2,Pitch hydraulic piston position blade 2,,Live Value,Double,Live Value
WROT.BlPthPistPos2_10m_Avg,WROT.,BlPthPistPos2_10m_Avg,Pitch hydraulic piston position blade 2,,Average,Double,10 minute tag
WROT.BlPthPistPos2_10m_Max,WROT.,BlPthPistPos2_10m_Max,Pitch hydraulic piston position blade 2,,Maximum,Double,10 minute tag
WROT.BlPthPistPos2_10m_Min,WROT.,BlPthPistPos2_10m_Min,Pitch hydraulic piston position blade 2,,Minimum,Double,10 minute tag
WROT.BlPthPistPos2_10m_Std,WROT.,BlPthPistPos2_10m_Std,Pitch hydraulic piston position blade 2,,Standard Deviation,Double,10 minute tag
WROT.BlPthPistPos3,WROT.,BlPthPistPos3,Pitch hydraulic piston position blade 3,,Live Value,Double,Live Value
WROT.BlPthPistPos3_10m_Avg,WROT.,BlPthPistPos3_10m_Avg,Pitch hydraulic piston position blade 3,,Average,Double,10 minute tag
WROT.BlPthPistPos3_10m_Max,WROT.,BlPthPistPos3_10m_Max,Pitch hydraulic piston position blade 3,,Maximum,Double,10 minute tag
WROT.BlPthPistPos3_10m_Min,WROT.,BlPthPistPos3_10m_Min,Pitch hydraulic piston position blade 3,,Minimum,Double,10 minute tag
WROT.BlPthPistPos3_10m_Std,WROT.,BlPthPistPos3_10m_Std,Pitch hydraulic piston position blade 3,,Standard Deviation,Double,10 minute tag
WROT.BlPthPistVlvPos1,WROT.,BlPthPistVlvPos1,Pitch hydraulic piston proportional valve position blade 1,,Live Value,Double,Live Value
WROT.BlPthPistVlvPos1_10m_Avg,WROT.,BlPthPistVlvPos1_10m_Avg,Pitch hydraulic piston proportional valve position blade 1,,Average,Double,10 minute tag
WROT.BlPthPistVlvPos1_10m_Max,WROT.,BlPthPistVlvPos1_10m_Max,Pitch hydraulic piston proportional valve position blade 1,,Maximum,Double,10 minute tag
WROT.BlPthPistVlvPos1_10m_Min,WROT.,BlPthPistVlvPos1_10m_Min,Pitch hydraulic piston proportional valve position blade 1,,Minimum,Double,10 minute tag
WROT.BlPthPistVlvPos1_10m_Std,WROT.,BlPthPistVlvPos1_10m_Std,Pitch hydraulic piston proportional valve position blade 1,,Standard Deviation,Double,10 minute tag
WROT.BlPthPistVlvPos2,WROT.,BlPthPistVlvPos2,Pitch hydraulic piston proportional valve position blade 2,,Live Value,Double,Live Value
WROT.BlPthPistVlvPos2_10m_Avg,WROT.,BlPthPistVlvPos2_10m_Avg,Pitch hydraulic piston proportional valve position blade 2,,Average,Double,10 minute tag
WROT.BlPthPistVlvPos2_10m_Max,WROT.,BlPthPistVlvPos2_10m_Max,Pitch hydraulic piston proportional valve position blade 2,,Maximum,Double,10 minute tag
WROT.BlPthPistVlvPos2_10m_Min,WROT.,BlPthPistVlvPos2_10m_Min,Pitch hydraulic piston proportional valve position blade 2,,Minimum,Double,10 minute tag
WROT.BlPthPistVlvPos2_10m_Std,WROT.,BlPthPistVlvPos2_10m_Std,Pitch hydraulic piston proportional valve position blade 2,,Standard Deviation,Double,10 minute tag
WROT.BlPthPistVlvPos3,WROT.,BlPthPistVlvPos3,Pitch hydraulic piston proportional valve position blade 3,,Live Value,Double,Live Value
WROT.BlPthPistVlvPos3_10m_Avg,WROT.,BlPthPistVlvPos3_10m_Avg,Pitch hydraulic piston proportional valve position blade 3,,Average,Double,10 minute tag
WROT.BlPthPistVlvPos3_10m_Max,WROT.,BlPthPistVlvPos3_10m_Max,Pitch hydraulic piston proportional valve position blade 3,,Maximum,Double,10 minute tag
WROT.BlPthPistVlvPos3_10m_Min,WROT.,BlPthPistVlvPos3_10m_Min,Pitch hydraulic piston proportional valve position blade 3,,Minimum,Double,10 minute tag
WROT.BlPthPistVlvPos3_10m_Std,WROT.,BlPthPistVlvPos3_10m_Std,Pitch hydraulic piston proportional valve position blade 3,,Standard Deviation,Double,10 minute tag
WROT.BlPthPnlTmp1,WROT.,BlPthPnlTmp1,Electrical pitch control Panel/Box temperature blade 1,�C,Live Value,Double,Live Value
WROT.BlPthPnlTmp1_10m_Avg,WROT.,BlPthPnlTmp1_10m_Avg,Electrical pitch control Panel/Box temperature blade 1,�C,Average,Double,10 minute tag
WROT.BlPthPnlTmp1_10m_Max,WROT.,BlPthPnlTmp1_10m_Max,Electrical pitch control Panel/Box temperature blade 1,�C,Maximum,Double,10 minute tag
WROT.BlPthPnlTmp1_10m_Min,WROT.,BlPthPnlTmp1_10m_Min,Electrical pitch control Panel/Box temperature blade 1,�C,Minimum,Double,10 minute tag
WROT.BlPthPnlTmp1_10m_Std,WROT.,BlPthPnlTmp1_10m_Std,Electrical pitch control Panel/Box temperature blade 1,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthPnlTmp2,WROT.,BlPthPnlTmp2,Electrical pitch control Panel/Box temperature blade 2,�C,Live Value,Double,Live Value
WROT.BlPthPnlTmp2_10m_Avg,WROT.,BlPthPnlTmp2_10m_Avg,Electrical pitch control Panel/Box temperature blade 2,�C,Average,Double,10 minute tag
WROT.BlPthPnlTmp2_10m_Max,WROT.,BlPthPnlTmp2_10m_Max,Electrical pitch control Panel/Box temperature blade 2,�C,Maximum,Double,10 minute tag
WROT.BlPthPnlTmp2_10m_Min,WROT.,BlPthPnlTmp2_10m_Min,Electrical pitch control Panel/Box temperature blade 2,�C,Minimum,Double,10 minute tag
WROT.BlPthPnlTmp2_10m_Std,WROT.,BlPthPnlTmp2_10m_Std,Electrical pitch control Panel/Box temperature blade 2,�C,Standard Deviation,Double,10 minute tag
